Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,enjoying beautiful day park, Positive  ,1/15/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
1,1,traffic terrible morning, Negative  ,1/15/2023 8:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
2,2,finished amazing workout 💪, Positive  ,1/15/2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
3,3,excited upcoming weekend getaway, Positive  ,1/15/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
4,4,trying new recipe dinner tonight, Neutral   ,1/15/2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
5,5,feeling grateful little things life, Positive  ,1/16/2023 9:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
6,6,rainy days call cozy blankets hot cocoa, Positive  ,1/16/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
7,7,new movie release mustwatch, Positive  ,1/16/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
8,8,political discussions heating timeline, Negative  ,1/17/2023 8:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
9,9,missing summer vibes beach days, Neutral   ,1/17/2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
10,10,published new blog post check, Positive  ,1/17/2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
11,11,feeling bit weather today, Negative  ,1/18/2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
12,12,exploring citys hidden gems, Positive  ,1/18/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
13,13,new year new fitness goals 💪, Positive  ,1/18/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
